,job,education,housing,loan,y
211,yes,yes,yes,no,0

212,yes,yes,yes,no,0

213,yes,no,no,no,0

214,yes,no,yes,no,0

215,no,yes,no,no,0

216,yes,no,yes,no,0

217,yes,no,no,no,0

218,yes,yes,no,no,0

219,yes,no,yes,no,0

220,yes,no,no,no,0

221,yes,no,no,no,0

222,yes,no,no,no,0

223,yes,yes,yes,no,0

224,yes,yes,no,no,0

225,yes,no,yes,no,0

226,yes,yes,no,no,0

227,no,yes,yes,no,0

228,yes,yes,no,no,0

229,no,no,no,no,0

230,yes,no,yes,no,0

231,yes,yes,no,no,0

232,yes,yes,yes,no,0

233,yes,yes,no,no,0

234,yes,yes,yes,no,0

235,yes,no,yes,no,0

236,no,no,no,no,0

237,yes,no,no,no,0

238,yes,no,no,no,0

239,no,no,no,no,0

240,yes,yes,yes,no,0

241,yes,no,yes,no,0

242,yes,no,no,no,0

243,yes,yes,no,no,1

244,yes,no,no,no,0

245,yes,no,yes,no,0

246,yes,yes,no,no,0

247,yes,no,no,no,0

248,yes,yes,yes,no,0

249,no,yes,no,no,0

250,yes,no,no,no,0

251,yes,no,yes,no,0

252,yes,yes,no,no,0

253,yes,yes,yes,no,0

254,yes,no,yes,no,0

255,yes,yes,no,no,0

256,yes,no,no,no,0

257,yes,yes,no,no,0

258,yes,yes,no,no,0

259,yes,no,yes,no,0

260,no,yes,yes,no,0

261,yes,yes,yes,no,0

262,yes,yes,no,no,0

263,yes,no,yes,no,0

264,yes,no,yes,no,0

265,yes,no,no,no,0

266,yes,yes,no,no,0

267,no,yes,no,no,0

268,yes,no,no,no,0

269,no,no,no,no,0

270,yes,no,yes,no,0

271,yes,no,no,no,0

272,yes,no,yes,no,0

273,yes,no,no,no,0

274,yes,no,yes,no,0

275,yes,yes,yes,no,0

276,yes,yes,no,no,0

277,yes,no,yes,no,0

278,yes,no,yes,no,0

279,yes,no,yes,no,0

280,yes,yes,yes,no,1

281,no,no,yes,no,0

282,yes,yes,yes,yes,0

283,yes,no,no,no,1

284,yes,yes,yes,no,0

285,yes,no,yes,no,0

286,yes,yes,no,no,0

287,yes,yes,yes,yes,1

288,yes,no,no,no,0

289,yes,yes,yes,no,0

290,no,yes,yes,no,0

291,yes,yes,yes,no,0

292,yes,yes,yes,no,0

293,yes,no,yes,no,1

294,yes,no,yes,no,0

295,yes,no,yes,no,0

296,yes,yes,no,no,0

297,yes,no,no,no,0

298,yes,no,yes,no,0

299,yes,no,no,no,0

300,yes,yes,yes,no,0

301,no,yes,yes,no,0

302,yes,no,yes,no,0

303,yes,no,no,no,0

304,yes,no,no,no,0

305,no,no,yes,yes,0

306,yes,no,no,no,0

307,no,no,yes,yes,0

308,yes,no,yes,yes,0

309,yes,yes,no,no,0

310,yes,no,yes,yes,0

311,yes,no,yes,no,0

312,yes,yes,no,no,0

313,yes,yes,no,no,0

314,yes,no,yes,no,0

315,yes,yes,yes,no,0

316,yes,yes,yes,no,0

317,yes,no,yes,no,0

318,yes,yes,no,no,0

319,no,no,yes,no,0

320,yes,no,yes,no,0

321,yes,no,no,no,0

322,yes,no,yes,no,0

323,yes,no,yes,yes,0

324,yes,yes,no,no,0

325,yes,yes,yes,no,0

326,yes,yes,yes,no,0

327,no,no,no,no,0

328,no,yes,yes,no,0

329,no,yes,no,no,0

330,yes,no,no,no,1

331,yes,no,yes,no,0

332,no,yes,no,no,0

333,yes,no,no,no,0

334,no,no,no,no,1

335,yes,no,no,no,1

336,yes,no,yes,no,0

337,yes,yes,no,no,0

338,yes,no,yes,no,0

339,yes,yes,no,no,0

340,yes,no,yes,no,1

341,yes,yes,yes,yes,0

342,no,no,yes,no,1

343,yes,no,yes,no,0

344,yes,yes,yes,no,0

345,yes,no,no,no,0

346,no,no,yes,no,1

347,no,no,no,no,1

348,yes,yes,no,no,0

349,yes,yes,yes,no,0

350,yes,yes,no,no,0

351,yes,yes,no,no,0

352,no,yes,no,yes,0

353,yes,no,yes,no,0

354,yes,yes,yes,no,0

355,yes,yes,yes,no,0

356,yes,no,yes,no,0

357,yes,yes,no,no,0

358,yes,no,no,no,0

359,yes,no,no,no,0

360,yes,yes,no,no,0

361,yes,yes,no,no,0

362,yes,yes,no,yes,0

363,yes,no,no,no,0

364,no,yes,yes,no,0

365,yes,no,yes,no,0

366,yes,yes,yes,no,0

367,yes,no,yes,no,0

368,yes,yes,no,no,0

369,yes,yes,no,no,0

370,yes,yes,no,no,1

371,yes,no,yes,no,0

372,yes,no,yes,no,0

373,yes,yes,no,no,0

374,yes,no,no,no,0

375,no,yes,yes,no,1

376,no,yes,yes,no,0

377,yes,no,yes,yes,0

378,yes,no,no,no,0

379,yes,yes,yes,no,0

380,yes,no,no,no,1

381,yes,yes,no,no,0

382,yes,no,no,yes,0

383,yes,yes,no,no,0

384,yes,yes,no,yes,0

385,no,no,yes,no,0

386,yes,no,no,no,0

387,yes,yes,yes,no,0

388,yes,no,no,no,0

389,no,yes,yes,no,0

390,yes,yes,yes,no,0

391,no,yes,yes,no,0

392,no,no,yes,no,0

393,yes,yes,yes,no,0

394,yes,no,no,no,1

395,no,yes,no,no,0

396,no,yes,no,no,1

397,yes,yes,yes,no,0

398,yes,yes,no,no,0

399,yes,yes,yes,no,1

400,no,no,yes,no,0

401,yes,yes,yes,no,1

402,yes,no,yes,no,0

403,yes,yes,yes,no,0

404,yes,yes,yes,yes,1

405,no,yes,yes,yes,0

406,yes,no,no,no,0

407,yes,no,no,no,1

408,yes,no,no,no,0

409,yes,no,yes,no,0

410,yes,no,no,no,0

411,yes,yes,yes,no,0

412,yes,no,no,no,1

413,no,yes,yes,no,0

414,yes,no,no,yes,0

415,yes,no,no,yes,0

416,yes,no,no,no,0

417,yes,no,yes,no,0

418,yes,yes,yes,no,0

419,yes,no,no,no,0

420,no,yes,yes,no,1

421,yes,no,no,no,0

422,no,yes,no,no,0

423,yes,no,no,no,0

424,yes,no,no,no,0

425,yes,yes,yes,no,0

426,yes,yes,yes,no,0

427,yes,no,yes,no,0

428,yes,no,no,no,0

429,yes,yes,yes,no,0

430,no,yes,yes,no,0

431,yes,no,yes,no,0

432,yes,no,yes,no,0

433,yes,no,yes,no,1

434,yes,yes,yes,no,0

435,yes,no,no,no,0

436,yes,yes,yes,yes,1

437,yes,no,yes,no,0

438,no,yes,yes,no,1

439,yes,no,yes,yes,0

440,yes,no,yes,no,0

441,no,yes,no,yes,0

442,yes,yes,no,yes,0

443,yes,no,no,yes,0

444,yes,no,yes,no,0

445,yes,yes,no,no,0

446,no,yes,yes,no,0

447,no,no,yes,no,0

448,no,yes,no,no,0

449,yes,yes,no,no,0

450,yes,no,no,no,1

451,yes,yes,yes,no,1

452,yes,no,no,no,0

453,yes,yes,no,no,0

454,no,no,no,no,1

455,yes,yes,yes,no,1

456,yes,no,no,no,0

457,yes,no,no,no,0

458,yes,yes,yes,yes,0

459,yes,yes,yes,yes,0

460,yes,no,yes,no,0

461,yes,no,yes,no,0

462,no,yes,yes,no,0

463,yes,no,no,no,0

464,yes,no,no,no,1

465,no,no,no,no,1

466,yes,no,yes,no,0

467,yes,yes,no,no,0

468,no,no,no,no,1

469,yes,yes,yes,yes,0

470,yes,no,no,no,0

471,yes,no,no,no,0

472,yes,yes,yes,yes,0

473,no,no,no,no,0

474,no,yes,no,no,0

475,yes,yes,yes,no,0

476,no,no,yes,no,0

477,yes,yes,no,no,0

478,yes,yes,no,no,0

479,yes,no,yes,no,0

480,yes,yes,no,no,0

481,yes,no,yes,no,0

482,yes,no,no,no,0

483,yes,no,no,no,0

484,yes,no,no,no,0

485,yes,no,no,no,0

486,yes,yes,yes,yes,0

487,yes,yes,yes,yes,0

488,yes,no,yes,no,0

489,yes,no,yes,no,0

490,yes,yes,yes,no,0

491,no,yes,yes,no,0

492,yes,no,yes,no,0

493,yes,no,no,no,0

494,yes,yes,no,no,0

495,yes,no,yes,no,0

496,yes,yes,yes,yes,0

497,yes,yes,yes,no,0

498,no,no,yes,no,0

499,yes,no,no,no,0

500,yes,no,yes,no,0

501,yes,no,yes,no,0

502,yes,no,yes,no,0

503,yes,no,yes,no,0

504,yes,yes,no,no,0

505,yes,no,no,no,0

506,yes,yes,yes,yes,0

507,yes,yes,yes,yes,0

508,yes,yes,yes,no,1

509,yes,no,yes,yes,0

510,yes,yes,no,no,0

511,yes,no,yes,yes,0

512,yes,no,no,yes,0

513,yes,no,yes,yes,0

514,yes,yes,yes,no,0

515,yes,no,yes,no,0

516,yes,no,yes,no,0

517,no,no,yes,no,0

518,yes,no,yes,no,0

519,yes,no,yes,no,0

520,yes,yes,no,no,0

521,yes,yes,no,no,1

522,yes,no,no,no,0

523,yes,no,yes,no,0

524,yes,no,no,no,0

525,yes,no,yes,yes,0

526,yes,yes,no,yes,0

527,no,no,no,no,0

528,yes,yes,yes,yes,0

529,yes,yes,yes,no,0

530,yes,no,yes,no,0

531,yes,no,yes,no,0

532,yes,no,no,no,0

533,yes,no,no,no,0

534,yes,no,yes,no,0

535,yes,no,yes,no,0

536,yes,no,yes,no,0

537,yes,no,yes,no,0

538,yes,yes,yes,yes,0

539,yes,no,yes,no,0

540,yes,yes,yes,no,0

541,yes,yes,no,no,0

542,yes,yes,no,no,0

543,yes,no,no,no,0

544,yes,yes,yes,no,0

545,yes,no,yes,yes,0

546,yes,yes,no,no,0

547,yes,no,no,no,0

548,yes,no,no,no,0

549,yes,no,yes,yes,0

550,yes,no,no,yes,0

551,yes,yes,yes,no,0

552,yes,yes,no,no,0

553,yes,no,yes,no,0

554,no,yes,yes,no,0

555,yes,no,no,no,0

556,yes,no,no,no,0

557,yes,no,yes,no,0

558,yes,no,yes,no,0

559,no,no,no,no,0

560,no,no,yes,yes,0

561,yes,yes,no,no,0

562,no,no,no,no,0

563,no,no,no,no,0

564,yes,no,yes,no,0

565,yes,yes,yes,no,0

566,yes,yes,no,no,0

567,yes,yes,no,no,1

568,yes,no,yes,no,0

569,yes,yes,no,no,0

570,yes,no,yes,no,0

571,yes,no,yes,no,0

572,no,no,yes,no,0

573,yes,no,yes,no,0

574,yes,no,yes,no,0

575,yes,no,yes,no,0

576,no,no,no,no,0

577,yes,yes,no,yes,0

578,yes,no,no,no,0

579,yes,no,no,no,0

580,yes,no,yes,no,0

581,yes,yes,yes,no,0

582,yes,no,yes,no,0

583,yes,yes,yes,no,0

584,yes,yes,no,no,0

585,yes,yes,yes,no,0

586,yes,no,no,no,0

587,yes,yes,no,yes,0

588,yes,no,yes,no,0

589,yes,no,no,no,0

590,no,no,yes,no,1

591,no,yes,no,no,0

592,yes,no,no,no,0

593,yes,yes,no,no,0

594,yes,yes,no,no,0

595,no,no,no,no,0

596,yes,no,no,no,0

597,yes,no,no,no,1

598,yes,no,yes,no,0

599,yes,yes,yes,no,0

600,yes,yes,no,no,0

601,yes,no,yes,no,0

602,yes,no,no,no,1

603,no,no,no,no,0

604,no,no,yes,no,1

605,no,no,yes,no,0

606,yes,no,no,yes,0

607,yes,yes,no,no,0

608,yes,no,yes,no,0

609,yes,no,yes,no,0

610,no,no,yes,no,0

611,yes,yes,no,no,0

612,yes,yes,no,no,0

613,yes,no,no,no,0

614,yes,no,no,no,0

615,yes,yes,yes,yes,0

616,no,no,no,no,0

617,yes,yes,no,no,0

618,yes,no,no,no,0

619,yes,yes,no,no,0

620,yes,no,no,no,0

621,yes,no,yes,no,0

622,yes,yes,yes,yes,0

623,yes,yes,no,no,0

624,yes,yes,yes,no,0

625,yes,no,no,yes,0

626,yes,no,no,no,0

627,yes,no,yes,yes,0

628,yes,yes,no,no,0

629,yes,yes,yes,no,0

630,yes,no,no,yes,0

631,yes,no,no,no,1

632,no,yes,yes,no,0

633,yes,yes,yes,no,0

634,yes,no,no,yes,0

635,yes,yes,yes,no,0

636,yes,yes,no,no,0

637,yes,no,yes,no,0

638,yes,yes,yes,no,0

639,yes,no,yes,no,0

640,yes,yes,yes,no,0

641,yes,yes,yes,no,0

642,yes,yes,yes,no,1

643,yes,no,no,no,0

644,yes,no,yes,no,0

645,yes,yes,yes,no,0

646,yes,no,no,no,1

647,no,no,yes,no,0

648,yes,no,no,no,0

649,yes,no,yes,no,1

650,yes,no,no,no,0

651,no,no,yes,no,0

652,no,no,yes,no,0

653,no,no,yes,yes,0

654,yes,no,no,yes,0

655,yes,no,no,no,0

656,yes,no,no,no,0

657,no,yes,yes,no,0

658,yes,yes,yes,no,0

659,yes,no,yes,no,0

660,no,yes,yes,no,0

661,yes,yes,no,no,0

662,yes,yes,no,no,0

663,yes,no,yes,yes,0

664,yes,no,yes,no,0

665,yes,no,yes,no,0

666,yes,yes,no,no,0

667,yes,no,yes,no,0

668,yes,no,yes,no,0

669,no,yes,no,no,0

670,yes,yes,yes,no,1

671,yes,no,yes,no,0

672,yes,yes,yes,no,0

673,yes,no,yes,no,0

674,no,no,no,no,0

675,yes,no,no,no,1

676,no,no,yes,no,0

677,yes,no,yes,no,0

678,yes,no,yes,no,0

679,yes,yes,no,no,0

680,yes,yes,no,no,1

681,no,yes,yes,no,0

682,no,yes,yes,no,0

683,yes,yes,yes,no,0

684,yes,yes,yes,no,0

685,yes,no,yes,no,0

686,yes,yes,yes,no,0

687,yes,no,yes,no,0

688,yes,no,yes,no,0

689,no,no,no,no,0

690,yes,yes,no,no,1

691,yes,yes,yes,no,0

692,yes,yes,yes,yes,0

693,yes,yes,no,yes,0

694,yes,yes,yes,no,0

695,yes,yes,no,no,0

696,yes,no,yes,no,0

697,yes,no,no,no,0

698,yes,no,yes,no,1

699,yes,no,no,no,0

700,yes,no,no,no,0

701,yes,no,no,no,0

702,yes,yes,no,no,0

703,yes,no,yes,no,0

704,no,no,no,no,0

705,no,no,no,no,1

706,yes,no,no,no,0

707,no,no,no,no,0

708,yes,no,yes,no,0

709,yes,yes,yes,no,0

710,yes,yes,yes,yes,0

711,yes,yes,no,no,0

712,yes,yes,yes,no,0

713,yes,yes,yes,yes,1

714,no,yes,yes,no,0

715,yes,no,no,yes,0

716,yes,no,yes,no,0

717,yes,no,yes,no,0

718,yes,no,no,no,0

719,yes,no,no,no,0

720,yes,no,no,no,0

721,yes,no,no,no,0

722,yes,yes,no,no,0

723,yes,yes,no,no,0

724,yes,no,yes,yes,0

725,yes,yes,no,yes,1

726,yes,no,no,no,0

727,no,no,no,no,1

728,yes,no,no,no,0

729,yes,no,no,no,0

730,yes,no,yes,no,0

731,yes,yes,no,no,0

732,yes,yes,no,yes,0

733,yes,yes,yes,no,0

734,yes,no,yes,no,0

735,yes,yes,yes,no,0

736,yes,yes,yes,yes,0

737,no,no,no,no,1

738,yes,yes,yes,no,1

739,yes,no,no,no,0

740,yes,yes,no,yes,0

741,yes,yes,yes,no,0

742,yes,yes,yes,no,0

743,yes,yes,yes,no,1

744,yes,yes,no,no,1

745,yes,yes,no,no,0

746,yes,no,yes,no,0

747,yes,yes,yes,no,0

748,yes,no,no,no,0

749,yes,yes,yes,no,1

750,yes,no,no,no,0

751,yes,no,no,yes,0

752,yes,yes,yes,no,0

753,yes,yes,yes,no,1

754,yes,no,yes,no,0

755,yes,yes,no,no,0

756,yes,no,no,no,0

757,yes,yes,yes,no,0

758,yes,no,yes,no,0

759,yes,yes,no,no,1

760,yes,no,yes,no,0

761,yes,yes,yes,no,0

762,yes,yes,yes,no,0

763,yes,no,yes,no,1

764,yes,no,yes,no,0

765,yes,yes,no,no,0

766,no,yes,yes,no,0

767,yes,yes,no,no,0

768,yes,yes,yes,yes,0

769,yes,yes,yes,no,1

770,yes,yes,no,no,0

771,yes,no,yes,no,0

772,yes,no,yes,no,0

773,yes,no,no,no,0

774,yes,no,no,no,0

775,yes,no,yes,no,0

776,yes,yes,yes,no,0

777,yes,no,yes,yes,0

778,yes,no,yes,no,1

779,yes,yes,no,no,0

780,yes,no,yes,no,1

781,yes,yes,yes,no,0

782,yes,no,no,no,0

783,yes,yes,yes,no,0

784,no,yes,no,no,1

785,no,yes,no,no,1

786,yes,no,yes,no,0

787,yes,no,no,no,0

788,no,yes,yes,no,0

789,yes,no,yes,no,0

790,yes,no,yes,no,0

791,yes,no,no,no,0

792,yes,yes,no,no,0

793,yes,yes,no,no,0

794,yes,yes,yes,no,0

795,yes,no,yes,no,0

796,no,no,no,no,0

797,yes,no,no,no,0

798,yes,yes,yes,no,0

799,yes,yes,yes,yes,0

800,yes,no,no,no,0

801,yes,yes,yes,no,0

802,yes,no,no,no,0

803,yes,yes,yes,no,1

804,no,no,no,no,1

805,yes,yes,yes,no,0

806,no,yes,no,no,0

807,yes,no,yes,no,0

808,yes,no,yes,no,0

809,yes,yes,yes,no,1

810,yes,yes,no,no,0

811,yes,no,no,no,0

812,yes,no,yes,no,0

813,yes,no,no,no,1

814,yes,no,yes,no,0

815,yes,no,yes,no,0

816,yes,no,yes,no,0

817,no,yes,yes,no,0

818,yes,no,yes,no,0

819,yes,yes,yes,yes,0

820,yes,no,no,no,0

821,yes,yes,yes,yes,1

822,yes,yes,yes,no,0

823,no,yes,yes,no,0

824,yes,no,yes,no,0

825,yes,no,no,no,1

826,yes,no,yes,no,1

827,no,no,yes,no,0

828,yes,no,yes,no,0

829,yes,no,yes,no,0

830,yes,no,no,no,0

831,yes,no,no,no,0

832,yes,no,yes,yes,0

833,yes,no,yes,no,0

834,yes,yes,no,no,0

835,yes,yes,yes,no,0

836,yes,yes,yes,no,0

837,yes,yes,no,no,0

838,yes,no,yes,yes,1

839,yes,yes,yes,no,0

840,yes,no,yes,no,0

841,yes,yes,yes,no,0

842,yes,yes,yes,yes,0

843,yes,no,yes,no,0

844,no,yes,yes,yes,0

845,yes,yes,no,no,0

846,yes,no,yes,no,0

847,yes,no,no,no,0

848,yes,no,no,no,0

849,yes,no,yes,yes,0

850,yes,no,yes,yes,0

851,yes,yes,no,no,0

852,yes,no,yes,yes,0

853,no,yes,no,no,0

854,yes,yes,no,yes,0

855,yes,no,no,no,0

856,yes,no,no,no,0

857,yes,yes,yes,no,0

858,yes,no,yes,no,0

859,yes,no,yes,no,0

860,yes,yes,no,no,0

861,yes,yes,yes,no,0

862,yes,no,no,no,0

863,yes,yes,yes,no,0

864,no,yes,yes,no,0

865,yes,yes,no,yes,0

866,yes,yes,no,no,0

867,yes,yes,yes,yes,0

868,yes,yes,yes,no,0

869,yes,no,no,no,0

870,yes,yes,no,no,0

871,no,yes,yes,no,0

872,yes,no,yes,yes,0

873,no,yes,no,yes,0

874,yes,no,no,yes,0

875,no,no,no,no,0

876,yes,no,yes,no,0

877,yes,yes,no,no,0

878,no,yes,yes,no,0

879,yes,yes,yes,no,0

880,yes,yes,no,no,0

881,yes,no,no,no,0

882,no,yes,no,yes,0

883,yes,yes,yes,yes,1

884,yes,no,no,yes,0

885,yes,no,yes,no,0

886,yes,no,no,no,0

887,yes,yes,no,no,0

888,yes,no,yes,no,0

889,yes,yes,yes,yes,0

890,yes,no,yes,no,0

891,yes,no,no,no,0

892,no,yes,no,no,0

893,yes,yes,yes,no,0

894,yes,no,no,no,0

895,no,yes,yes,no,0

896,yes,no,yes,no,0

897,yes,yes,no,no,0

898,yes,no,no,yes,0

899,yes,yes,no,no,0

900,yes,no,yes,no,0

901,yes,yes,yes,no,0

902,yes,no,no,no,0

903,yes,no,yes,no,1

904,yes,no,yes,no,1

905,yes,no,yes,no,0

906,yes,yes,no,no,0

907,yes,no,no,no,0

908,yes,no,no,yes,0

909,yes,no,yes,no,0

910,yes,no,no,no,0

911,yes,no,yes,no,0

912,yes,no,no,no,0

913,yes,yes,yes,no,0

914,yes,yes,no,no,0

915,yes,yes,yes,no,1

916,no,yes,no,no,0

917,yes,no,no,no,1

918,no,yes,no,no,0

919,yes,no,no,no,0

920,yes,yes,no,no,0

921,yes,no,yes,yes,0

922,yes,no,yes,yes,0

923,yes,yes,yes,no,0

924,yes,yes,yes,no,0

925,yes,yes,yes,no,0

926,no,yes,no,no,0

927,yes,yes,no,no,0

928,yes,no,yes,no,0

929,no,no,yes,no,0

930,yes,no,no,no,0

931,no,no,no,no,1

932,yes,no,yes,yes,0

